id,comName,sciName,howMany,locName,locId,lat,lng,obsDt,
URN:CornellLabOfOrnithology:EBIRD:OBS2068319782,Black-winged Stilt,Himantopus himantopus,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,18/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2031062489,Booted Eagle,Hieraaetus pennatus,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,06/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2027972891,Booted Eagle,Hieraaetus pennatus,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,04/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2091938284,Common Cuckoo,Cuculus canorus,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,25/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141952,Common Cuckoo,Cuculus canorus,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141956,Western House-Martin,Delichon urbicum,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2068319774,Common Nightingale,Luscinia megarhynchos,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,18/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141955,Common Nightingale,Luscinia megarhynchos,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2091938276,Common Nightingale,Luscinia megarhynchos,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,25/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2031062494,Common Wood-Pigeon,Columba palumbus,3,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,06/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2068319779,European Bee-eater,Merops apiaster,4,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,18/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2031062496,Eurasian Collared-Dove,Streptopelia decaocto,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,06/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141951,Eurasian Collared-Dove,Streptopelia decaocto,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2091938278,Eurasian Blackbird,Turdus merula,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,25/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141949,Eurasian Blackbird,Turdus merula,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141948,European Goldfinch,Carduelis carduelis,6,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2091938280,European Goldfinch,Carduelis carduelis,3,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,25/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141962,European Greenfinch,Chloris chloris,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2068319778,European Greenfinch,Chloris chloris,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,18/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141950,Eurasian Jackdaw,Corvus monedula,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2091938277,Eurasian Kestrel,Falco tinnunculus,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,25/04/2024
